-,-,-
10, -32, 1008
10, -32, 1008
6, -32, 1027
9, -32, 1026
7, -31, 1024
7, -31, 1024
8, -30, 1026
7, -31, 1027
10, -33, 1021
9, -31, 1023
9, -31, 1023
8, -31, 1024
6, -29, 1029
8, -31, 1026
8, -31, 1026
8, -31, 1026
8, -32, 1024
9, -32, 1025
9, -32, 1025
8, -31, 1026
8, -30, 1025
8, -31, 1025
8, -31, 1025
8, -32, 1024
8, -32, 1025
8, -31, 1025
8, -30, 1025
8, -30, 1025
8, -30, 1025
9, -31, 1024
8, -33, 1025
8, -33, 1025
8, -31, 1025
7, -32, 1025
8, -31, 1024
8, -31, 1024
8, -31, 1026
9, -31, 1025
8, -33, 1024
8, -33, 1024
8, -33, 1025
7, -31, 1024
7, -31, 1025
7, -31, 1025
8, -30, 1025
8, -32, 1024
8, -32, 1026
8, -32, 1024
8, -32, 1024
8, -31, 1025
8, -31, 1026
8, -31, 1025
8, -31, 1025
9, -32, 1024
8, -32, 1024
8, -31, 1026
8, -31, 1026
8, -30, 1025
8, -31, 1025
8, -32, 1025
8, -32, 1025
8, -32, 1025
7, -31, 1024
9, -32, 1025
9, -32, 1025
8, -31, 1025
8, -32, 1025
8, -32, 1024
8, -31, 1025
8, -31, 1025
8, -31, 1025
9, -31, 1025
9, -31, 1024
9, -31, 1024
8, -31, 1024
7, -32, 1024
7, -32, 1024
7, -32, 1024
8, -30, 1025
9, -31, 1023
8, -31, 1026
8, -31, 1026
7, -33, 1025
7, -32, 1024
8, -31, 1024
8, -31, 1024
8, -30, 1024
8, -31, 1025
8, -32, 1024
8, -32, 1024
8, -32, 1024
8, -32, 1025
8, -32, 1025
8, -30, 1024
8, -30, 1024
8, -31, 1025
8, -32, 1024
8, -32, 1024
8, -32, 1024
9, -31, 1025
9, -31, 1024
8, -31, 1024
8, -31, 1024
8, -32, 1024
7, -32, 1024
8, -32, 1024
8, -32, 1024
9, -31, 1025
9, -31, 1025
9, -32, 1024
8, -32, 1024
8, -32, 1024
8, -32, 1024
7, -31, 1024
8, -31, 1024
8, -31, 1024
8, -31, 1024
8, -31, 1024
8, -32, 1024
8, -32, 1024
7, -32, 1024
9, -31, 1025
8, -31, 1024
8, -31, 1024
9, -31, 1024
8, -31, 1024
7, -31, 1024
7, -31, 1024
7, -32, 1023
8, -30, 1025
10, -31, 1024
8, -31, 1024
8, -31, 1024
8, -32, 1024
7, -32, 1024
8, -32, 1023
8, -32, 1023
8, -31, 1025
8, -31, 1024
8, -31, 1024
8, -31, 1024
9, -32, 1024
7, -32, 1025
8, -31, 1024
8, -31, 1024
8, -31, 1025
8, -31, 1024
8, -32, 1024
9, -32, 1024
9, -32, 1024
8, -31, 1024
8, -31, 1025
