-,-,-
-9, -13, 1026
-8, -14, 1025
-8, -13, 1024
-8, -13, 1023
-9, -13, 1024
-9, -13, 1024
-9, -13, 1025
-8, -13, 1024
-9, -13, 1024
-9, -13, 1025
-9, -13, 1025
-9, -13, 1024
-8, -13, 1024
-9, -13, 1024
-9, -13, 1024
-9, -13, 1025
-9, -13, 1025
-9, -14, 1025
-9, -14, 1025
-9, -15, 1024
-7, -14, 1025
-7, -14, 1025
-8, -54, 1022
-11, -59, 1027
-16, -31, 1024
-25, -102, 1020
-2, -10, 1028
6, -37, 1023
6, -37, 1023
-29, -51, 1030
-25, -59, 1018
3, -1, 1027
7, 3, 1024
7, 3, 1024
-32, 39, 1025
-3, -7, 1025
-3, -7, 1025
2, -45, 1023
-13, -91, 1028
-6, -48, 1021
-20, -12, 1026
-9, -15, 1038
-9, -15, 1038
-25, -68, 1016
-6, -68, 1028
-4, -83, 1027
-5, -70, 1008
-5, -70, 1008
7, -16, 1029
2, -26, 1027
-34, 0, 1033
0, -70, 998
0, -70, 998
-9, -11, 1054
-11, -6, 1022
9, 38, 1027
9, 38, 1027
-12, -19, 1031
24, -28, 1018
24, -50, 1022
13, -5, 1034
13, -5, 1034
-50, 25, 1036
-2, 16, 1011
-14, 27, 1027
-14, 27, 1027
0, 28, 1033
-55, 107, 1013
-9, 112, 1030
-5, 74, 1029
-5, 74, 1029
-1, 68, 1026
-12, 13, 1026
-10, -2, 1026
-8, -13, 1026
-8, -13, 1026
-5, -13, 1025
124, -2, 1027
29, -11, 1027
80, -35, 1017
80, -35, 1017
77, -49, 1026
30, -60, 1034
3, -57, 1019
26, -2, 1036
26, -2, 1036
-5, -24, 1018
-13, 3, 1026
-19, 2, 1031
11, 26, 1009
11, 26, 1009
-12, 13, 1019
-4, -11, 1027
-47, -10, 1063
-4, -20, 995
-4, -20, 995
-28, -8, 1036
-8, -31, 1019
-16, -15, 1036
-23, -33, 1011
-23, -33, 1011
-29, 8, 1027
-69, -2, 1027
-29, -7, 1029
-16, -18, 1023
-54, -10, 1024
-54, -10, 1024
-57, -8, 1026
-37, -8, 1029
-80, -13, 1024
-46, -13, 1026
-28, -10, 1024
-10, -12, 1026
-10, -12, 1026
-7, -14, 1026
-7, -14, 1024
-8, -12, 1025
-17, -15, 1026
-12, -15, 1025
-9, -13, 1025
-9, -13, 1025
